cell,run,checkedBy,audience,pullRequest,text
gpt-6-luna-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,222,"""Ticket summary timestamps now use the configured user timezone."" - Supported by [#222]."
gpt-6-luna-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,219,"""When semantic evaluation is unavailable or embedding fails, you can still rely on the existing lexical check to provide a verdict."" - Supported by [#219], which says the lexical evaluator is the fallback for no Voyage key or embedding failure."
gpt-6-luna-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,245,"""with hover and keyboard-focus previews"" - [#245] supports a hover/focus tooltip, but does not state that keyboard focus is usable to show it. Keyboard-focus support is described in [#233], not in the reintroduced Markdown citation badges described by [#245]."
gpt-6-luna-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,233,"""Inline assistant citations: Citations can now appear as numbered badges beside matching titles in assistant answers"" - [#233] says badges are anchored in the streamed answer text by matching citation titles. It does not specify assistant Markdown answers; that behavior is described by [#245]. This repeats and blends the earlier implementation with the later Markdown implementation."
gpt-6-luna-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,233,"""with previews on hover or keyboard focus"" - [#233] supports a CSS-only tooltip on hover or keyboard focus, but the output's separate inline-citation item presents this as the current Markdown answer behavior, which [#233] does not establish."
gpt-6-luna-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,223,"""The assistant no longer needs to ask again before carrying out a change the user already requested"" - [#223] says not to re-ask when the user already requested a change, but explicitly allows confirmation for genuine user decisions, including hard-to-reverse actions with real doubt about intent or uncertain route suggestions. The statement is overbroad as written."
gpt-6-luna-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,223,"""You can rely on it to ask only when a genuine decision or missing information requires confirmation."" - [#223] also permits confirmation for hard-to-reverse actions with real doubt about intent and uncertain route_ticket suggestions; those cases are omitted from the stated rule."
gpt-6-luna-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,222,"""You can rely on the summary times matching the timezone shown in the ticket details."" - [#222] says timestamps are converted to the configured user timezone, matching the detail view. The facts do not establish that the configured timezone necessarily matches the timezone shown in ticket details in every case."
gpt-6-luna-disabled,run-1,checked by gpt-6-sol,technical,233,"""Add inline citation badges with hover or keyboard-focus previews, retaining the sources list for citations not anchored in the answer."" - PR #244 says the #233 inline badge implementation was removed during the Markdown integration, leaving citations in the sources list; inline badges were deferred to #243 and subsequently reintroduced by #245. This entry presents the removed implementation as an addition in the resulting release."
gpt-6-luna-disabled,run-1,checked by gpt-6-sol,customer,223,"""The assistant could claim a ticket change without a successful tool result or ask you to confirm a change you had already requested."" - The live reproduction did not reproduce either reported behavior in five turns; the PR added a missing prompt policy, rather than fixing a behavior observed before this change."
gpt-6-luna-disabled,run-1,checked by gpt-6-sol,customer,223,"""It now reports a change only after a tool call succeeds and proceeds with requested changes without asking again"" - The PR added instructions to the system prompt and verified a live scenario, but says model behavior cannot be guaranteed by the scripted tests. This wording presents the policy as guaranteed behavior."
gpt-6-luna-disabled,run-1,checked by gpt-6-sol,customer,219,"""so you can rely on those answers being assessed by meaning"" - Semantic scoring is used when embeddings are available, but the PR says that path is nondeterministic and falls back to lexical scoring when embeddings are unavailable or fail. The assurance overstates what the change guarantees."
gpt-6-luna-disabled,run-2,checked by gpt-6-sol,technical,233,"""Add inline citation badges with keyboard-accessible tooltips in assistant answers, retaining a numbered sources list for citations that are not anchored."" - PR #233 initially added this, but PR #244 removed its inline-badge implementation during integration and deferred the feature. PR #245 later reintroduced badges over sanitized Markdown. Presenting #233’s implementation as an addition in the final changelog misstates what survived integration."
gpt-6-luna-disabled,run-2,checked by gpt-6-sol,customer,245,"""The title must be quoted verbatim for a badge to be anchored."" - The title must appear verbatim for anchoring, but the facts do not require it to be quoted."
gpt-6-luna-disabled,run-2,checked by gpt-6-sol,customer,223,"""The assistant no longer asks for confirmation after you have already requested a change, including after correcting an earlier mistake. You can rely on it to report a change only after a tool call succeeds"" - PR #223 added these rules to the system prompt and verified a live scenario. It does not establish that the assistant will always follow them; the wording presents model behavior as guaranteed."
gpt-6-luna-disabled,run-3,checked by gpt-6-sol,technical,233,"""Add inline citation badges anchored to matching titles in assistant answers, with tooltip previews and a sources-list fallback. ([#233](https://github.com/goldbarth/ServiceDeskLite/pull/233))"" - PR #244 says its integration removed #233’s AnswerCitationLayout and tests, kept citations in the sources list, and deferred inline badges. PR #245 later reintroduced inline badges over sanitized Markdown. Presenting #233’s implementation as a release addition is misleading."
gpt-6-luna-disabled,run-3,checked by gpt-6-sol,customer,221,"""**Agent roster in assistant replies:**"" - The active roster is injected into the assistant’s system prompt, not necessarily included in its replies."
gpt-6-luna-disabled,run-3,checked by gpt-6-sol,customer,218,"""**Grounding checks:** After knowledge-base passages are retrieved, the assistant now runs a grounding check before streaming its first answer token if it has not already checked."" - The check is forced before the first streamed token when passages are present and no check has run, but the mechanism guarantees only one check after retrieval—not a new check after every retrieval."
gpt-6-luna-disabled,run-3,checked by gpt-6-sol,customer,219,"""**Meaning-based grounding checks:** Grounding checks now compare answer sentences with retrieved passages by meaning, so supported paraphrases and translations can be recognized."" - The semantic evaluator scores embedding similarity; the facts report deterministic fake-embedder tests, not live validation that supported paraphrases and translations are recognized in practice."
gpt-6-luna-high,run-1,checked by gpt-6-sol,technical,233,"""Add inline citation badges where citation titles appear in assistant answers, with hover and focus previews and a numbered sources fallback. ([#233](https://github.com/goldbarth/ServiceDeskLite/pull/233))"" - Although #233 initially built these badges, #244 removed that implementation during integration and deferred inline badges. #245 later reintroduced them over sanitized Markdown. Presenting #233 as a separate addition in this release misstates what shipped."
gpt-6-luna-high,run-1,checked by gpt-6-sol,customer,238,"""Category and Due appear as separate uppercase headers"" - The facts say Category was changed to uppercase, but do not say Due was changed; the verification shows Due was already uppercase. The fix separated the headers and uppercased Category."
gpt-6-luna-high,run-1,checked by gpt-6-sol,customer,223,"""It reports the change as complete only after a tool call succeeds, so you can rely on its account of the result."" - The PR added a system-prompt policy requiring a successful tool result before claiming a change was made. The facts do not establish that the assistant always follows that policy, so the guarantee that users can rely on its account is overstated."
gpt-6-luna-high,run-2,checked by gpt-6-sol,technical,233,"""Add inline citation badges by matching each `AssistantCitation` title to the answer text, retaining unmatched citations in the numbered sources list."" - Although #233 initially added these badges, #244 removed that implementation during the Markdown integration and deferred inline badges. They were subsequently reintroduced by #245 over sanitized Markdown. Presenting #233 as a separate addition in this changelog misstates what survived integration."
gpt-6-luna-high,run-2,checked by gpt-6-sol,customer,245,"""The badge number matches the Sources list, and citations without a matching title remain listed there."" - PR #245 says unanchored citations remain in the Sources list, but does not establish that citations with inline badges also appear there. Its numbered-list consistency claim does not establish that all citations remain listed."
gpt-6-luna-high,run-2,checked by gpt-6-sol,customer,237,"""When a ticket has an actionable suggestion, its first suggested step appears as a primary button or owner picker"" - PR #237 says actionable steps are ordered first, but the primary control depends on the action: a status change gets a button and assignment gets an agent picker. The wording implies any actionable suggestion produces either control without that qualification."
gpt-6-luna-high,run-2,checked by gpt-6-sol,customer,218,"""the product now tells the assistant and autonomous worker to check a draft against them before streaming an answer"" - PR #218 says the check is enforced through `tool_choice`, not merely requested. Describing the change as telling them to check understates the mechanism that was added."
gpt-6-luna-high,run-3,checked by gpt-6-sol,technical,233,"""Add inline citation badges where citation titles match assistant answer text, with a numbered sources list for citations that are not anchored."" - PR #233 initially added this, but PR #244 removed its `AnswerCitationLayout` and tests during integration, deferring inline badges. PR #245 later reintroduced them over sanitized Markdown. Presenting #233 as an added feature in the resulting changelog misstates what remained from that PR."
gpt-6-luna-high,run-3,checked by gpt-6-sol,customer,237,"""For tickets with suggestions, the first actionable suggestion appears as the primary button or owner picker"" - The first step becomes the primary control only when it is actionable. If no suggestion is actionable, it falls back to a caption rather than a button or owner picker."
gpt-6-luna-high,run-3,checked by gpt-6-sol,customer,223,"""You can rely on its success claims as confirmation that the action completed"" - The facts describe a system-prompt rule against claiming a change without a successful tool result. They do not establish that the assistant will always obey it, so this assurance overstates the change."
gpt-6-luna-low,run-1,checked by gpt-6-sol,technical,233,"""Add inline citation badges anchored to matching titles in assistant answers, with tooltips and a numbered sources list for citations without an anchor."" - PR #233 initially added this, but PR #244 removed its inline citation implementation and deferred the badges. PR #245 later reintroduced badges over sanitized Markdown. Describing #233’s implementation as an addition in the resulting changelog misrepresents what remained."
gpt-6-luna-low,run-1,checked by gpt-6-sol,customer,233,"""**Inline chat citations:** Assistant chat answers can show numbered citation badges beside matching passage titles, with source details available on hover or keyboard focus. Citations that are not anchored in the answer remain in the numbered Sources list."" - This rephrases the original inline-citation implementation, but that implementation was removed during M9 integration in favor of Markdown rendering and a Sources list. Inline badges were subsequently reintroduced over sanitized Markdown in #245; the original implementation did not ship as a separate feature."
gpt-6-luna-low,run-1,checked by gpt-6-sol,customer,221,"""**Agent names for the assistant:** The assistant now receives the active agent roster when handling ticket assignments. You can rely on it to use roster names and list valid agents rather than inventing a name when the requested person is not on the roster."" - The facts establish that the roster and instructions are included in the prompt, and that a test checks the prompt content. They do not establish a guarantee that the model will always follow those instructions."
gpt-6-luna-low,run-1,checked by gpt-6-sol,customer,223,"""**Assistant confirmations:** The assistant no longer reports a change as complete unless a tool call succeeds, and it does not ask again when you have already requested a change. You can rely on it to ask for confirmation only when a decision is genuinely needed, such as an ambiguous ticket match or uncertain intent for a hard-to-reverse action."" - The PR added these rules to the system prompt and verified a live scenario, but explicitly says model behavior cannot be pinned by the scripted tests. The unconditional claims and 'You can rely on it' overstate what a prompt policy establishes."
gpt-6-luna-low,run-2,checked by gpt-6-sol,technical,233,"""Anchor assistant citations to matching answer titles with numbered inline badges and tooltips, retaining unanchored citations in the sources list."" - Although #233 initially implemented inline badges, #244 removed that implementation when integrating Markdown rendering and deferred inline badges to #243. They were subsequently reintroduced over sanitized Markdown in #245. Presenting #233 as a separate addition in this changelog misstates what survived integration."
gpt-6-luna-low,run-2,checked by gpt-6-sol,customer,245,"""with a preview available on hover or keyboard focus"" - The delivered Markdown badges in #245 have a hover/focus tooltip, but the fact does not establish that the badge itself is keyboard-focusable. The earlier keyboard-focus implementation in #233 was removed during #244's integration."
gpt-6-luna-low,run-2,checked by gpt-6-sol,customer,218,"""the assistant and autonomous worker are required to run a grounding check before streaming an answer"" - #218 forces a check once after passages are retrieved and before the first streamed token, but its stated limitation is that it does not guarantee a check for every later retrieval in a run. This wording overstates the guarantee as a check before streaming an answer."
gpt-6-luna-low,run-2,checked by gpt-6-sol,customer,223,"""The assistant no longer asks you to confirm a change you already requested, including after it corrects an earlier mistake."" - #223 added a prompt policy against needless confirmation and verified it in a live pass; it does not establish that the assistant will never ask unnecessarily. The fact also allows questions when a genuine user decision is needed."
gpt-6-luna-low,run-2,checked by gpt-6-sol,customer,223,"""You can rely on it to report a change only after a tool call succeeds"" - #223 states a system-prompt rule and reports live verification, not a mechanism that guarantees the model will always follow that rule."
gpt-6-luna-low,run-3,checked by gpt-6-sol,technical,233,"""Anchor assistant citations to matching titles in answer text with numbered badges and hover or keyboard-focus tooltips, retaining a sources list for unanchored citations."" - Although #233 originally implemented this, #244 removed its AnswerCitationLayout and tests during integration, deferring inline badges. The shipped Markdown-based implementation was reintroduced separately in #245, so listing #233 as an added release feature misrepresents what survived integration."
gpt-6-luna-low,run-3,checked by gpt-6-sol,customer,223,"""the assistant no longer claims a change succeeded unless a tool reports success, and it does not ask you to confirm a change you already requested. You can rely on its change claims being tied to a successful result in the conversation."" - The PR added rules to the system prompt and verified specific live scenarios; it does not establish that the model will always follow them. The policy also permits confirmation for genuine user decisions, even when a change was requested."
gpt-6-luna-low,run-3,checked by gpt-6-sol,customer,219,"""When an embedding is unavailable or fails, the check falls back to lexical scoring"" - The facts specify fallback when there is no Voyage key or an embedding fails. They do not establish fallback whenever an embedding is otherwise unavailable."
gpt-6-luna-medium,run-1,checked by gpt-6-sol,technical,233,"""Anchor assistant citations inline with `AnswerCitationLayout`, leaving citations without a title match in the sources list."" - Although #233 initially added AnswerCitationLayout, #244 explicitly removed it and its tests during integration, deferring inline badges. #245 later reintroduced badges using `AssistantMarkdown.Render` instead. The output presents the removed implementation as part of the resulting changelog."
gpt-6-luna-medium,run-1,checked by gpt-6-sol,customer,235,"""Accepted changes are reconciled with the server, and rejected changes restore the previous status and explain why."" - [#235] specifies server reconciliation for the board and rollback on rejection for both the board and detail view. It does not say accepted detail-view changes are reconciled with the server; the wording applies that behavior to both views."
gpt-6-luna-medium,run-2,checked by gpt-6-sol,technical,233,"""Add inline citation badges anchored to matching answer text, with source details available on hover or keyboard focus."" - PR #233 initially added this, but PR #244 removed that implementation when integrating Markdown rendering and deferred inline badges. PR #245 later reintroduced them over sanitized Markdown. Presented as a separate addition alongside #245, this misstates what shipped."
gpt-6-luna-medium,run-2,checked by gpt-6-sol,customer,237,"""the first actionable suggestion appears in the header as a button or assignee picker"" - The first step becomes the primary control, but when no suggestion is actionable it falls back to a caption. The facts do not say every ticket with suggestions has an actionable first step."
gpt-6-luna-medium,run-2,checked by gpt-6-sol,customer,218,"""After knowledge-base passages are retrieved, the assistant runs a grounding check before streaming its answer unless it has already checked during that run."" - The loop forces a check once after passages appear if none has run. A check earlier in the run does not establish that the newly retrieved passages were checked; the facts explicitly do not guarantee coverage of every passage in a longer chain."
gpt-6-luna-medium,run-2,checked by gpt-6-sol,customer,223,"""Completion claims are tied to successful tool results in the conversation"" - The PR added a system-prompt instruction not to claim a change succeeded without a successful tool result. The facts do not establish a mechanism that guarantees the assistant always follows that instruction."
gpt-6-luna-medium,run-3,checked by gpt-6-sol,technical,237,"""Add a ticket-header primary control that executes the first actionable `SuggestedNextSteps` entry"" - The first actionable step is the primary control when one exists, but it does not always execute directly: an assignment step opens an agent picker. If no step is actionable, it falls back to a caption."
gpt-6-luna-medium,run-3,checked by gpt-6-sol,technical,218,"""Require `AgentLoop` to invoke `check_grounding` through `tool_choice` once after retrieval supplies passages"" - The loop forces a check only if passages have been retrieved and no check has run. A model-initiated check satisfies the condition, so `AgentLoop` does not always force one through `tool_choice`."
gpt-6-luna-medium,run-3,checked by gpt-6-sol,technical,223,"""avoids confirmation when the user has already requested it"" - The policy still permits asking before a write when a genuine user decision is needed, such as an ambiguous ticket match, missing required information, or real doubt about a hard-to-reverse action."
gpt-6-luna-medium,run-3,checked by gpt-6-sol,customer,234,"""Choosing a status or assignee from the ticket header now opens an inline menu instead of a dialog."" - The header buttons open inline menus; choosing an item from a menu applies the change immediately. The choice does not open the menu."
gpt-6-luna-medium,run-3,checked by gpt-6-sol,customer,223,"""The assistant no longer claims a ticket change succeeded unless a tool reports success in the conversation."" - The PR added this rule to the system prompt, but does not establish that the assistant will always follow it. The original behavior was not reproducible in the live turns tested before the change."
gpt-6-luna-medium,run-3,checked by gpt-6-sol,customer,223,"""When you have already requested a change, it proceeds without asking you to confirm again"" - The PR added a no-needless-confirmation rule to the prompt and verified a specific live scenario. It does not establish that the assistant consistently proceeds without asking across requests."
gpt-6-sol-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,245,"""with a preview on hover or keyboard focus"" - #245 says the badge has a hover/focus tooltip, but the listed tooltip contents are title, source › heading, and snippet. It does not characterize this as a preview. More importantly, this release bullet merges #245 with #207's tooltip details, and #245 alone does not say its tooltip behavior was verified by browser E2E; however the claim itself is supported across the facts. No unsupported claim here."
gpt-6-sol-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,218,"""in both assistant chat and the autonomous worker"" - #218 says the enforcement applies to the interactive assistant and autonomous worker because they share the loop. But the output says answers based on retrieved passages receive checks in both; the fact guarantees a check after retrieval, not that all such answers necessarily receive one in every circumstance? It does say guarantees at least one grounding check after any retrieval."
gpt-6-sol-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,222,"""the same user time zone as assistant chat"" - #222 states summary timestamps use the same zone source as the chat path, Anthropic:UserTimeZone. The output's wording is supported."
gpt-6-sol-checked-by-gpt-6-luna,run-1,checked by gpt-6-luna,customer,219,"""when embeddings are available, falling back to word matching when they are not"" - #219 says the lexical evaluator is the fallback not only when no Voyage key is available, but also when an embedding failure occurs. The output implies fallback only when embeddings are unavailable, omitting the embedding-failure fallback; that omission does not assert the contrary, but narrows the stated conditions."
gpt-6-sol-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,237,"""The usual ticket controls remain available, so you can still use them when there is no actionable suggestion."" - The facts say generic Change Status / Assign / Edit controls remain always available, and no suggestions falls back to those controls. The output changes this to a claim specifically about when there is no actionable suggestion; it does not state that fallback condition."
gpt-6-sol-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,,"""Markdown answers, dark mode, and the updated ticket controls are available together."" - The release-integration facts support Markdown rendering, dark-mode toggle, and updated ticket controls, but say citation badges were deferred to #243. This sentence is a release-wide statement and is not a rephrasing of one single fact."
gpt-6-sol-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,239,"""The assistant's send button could sit against or over the edge of its panel."" - The facts describe the button as flush at the right border and hanging over it. They do not say it could sit merely against the edge as a separate condition; the fix addresses missing panel padding and restores the intended layout."
gpt-6-sol-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,222,"""Times in a ticket summary could differ from those shown on the ticket detail page."" - The facts specifically describe summary timestamps being rendered in UTC while the detail view shows local time, and say the summary path lacked timezone conversion. The broad wording implies possible differences generally, rather than the documented timezone mismatch."
gpt-6-sol-checked-by-gpt-6-luna,run-2,checked by gpt-6-luna,customer,219,"""Checks now compare meaning when embeddings are available, so those answers can be recognized as supported."" - The facts say the semantic evaluator scores substantive answer sentences against retrieved passages, and that paraphrases and translations are recognized in tests using a fake embedder. They do not establish that all such answers will be recognized as supported in general; the semantic path is nondeterministic."
gpt-6-sol-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,233,"""Citation badges now appear beside matching passage titles in assistant answers, and hovering over or focusing a badge shows its source details."" - [#233] describes badges anchored after a matching title in the answer text, with a tooltip containing source, heading, and snippet. The output repeats this claim in its next bullet; however, the release facts say #233's badges were removed during the #244 integration and deferred to #243. In addition, #243 anchors badges in the sanitized Markdown answer, not specifically beside titles in the same manner as #233."
gpt-6-sol-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,237,"""The first actionable suggestion on a ticket now appears as a button or agent picker"" - [#237] says the first step becomes the primary control, and actionable steps are ordered first. The wording is supported."
gpt-6-sol-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,235,"""Ticket status changes: A ticket’s status now changes on screen immediately when you move its board card or change it on the ticket page."" - The board status is updated optimistically in [#235], but that fact explicitly says the detail view status popover was added in #208 and updates optimistically there. The output combines the two PRs into one claim; #234 describes inline status editing, but does not say it is immediate/optimistic. No single fact supports this combined claim as phrased."
gpt-6-sol-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,233,"""Citation badges now appear beside matching passage titles in assistant answers"" - [#244] says Markdown leads and inline badges were deferred to #243; [#243] later reintroduces badges anchored in the sanitized Markdown answer after a cited passage title. It does not support presenting a separate #233 implementation as delivered in this release; the output also duplicates the citation feature."
gpt-6-sol-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,218,"""Grounding checks: Answers based on retrieved knowledge-base passages now receive a grounding check before the assistant begins streaming its reply."" - [#218] guarantees a check after retrieval and before the first streamed token. However, it applies when retrieved passages are held in the retrieval context and no check has run; the claim's unqualified “Answers based on” overstates the stated condition."
gpt-6-sol-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,213,"""Consistent interface styling: Spacing, corners, colours and status chips now use shared styles across the interface."" - [#213] says all stylesheets read from design tokens and gives shared status/priority chip tokens for queue, board, and detail. It also explicitly notes that spacing and radius values were normalized, moving pixels by one to four in places. The output's broad “consistent ... across the interface” is not directly established as a guarantee of visual consistency beyond shared tokens."
gpt-6-sol-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,244,"""The frontend redesign is included together in v1.9.0, with Markdown answers and a sources list in the assistant."" - [#244] integrates M9 into main and adds release notes; its facts say Markdown rendering and sources list are part of the integration, but inline citation badges were deferred to #243, which later completes them. The broad release statement is supported as an integration summary, though it omits that the milestone was assembled from divergent branches."
gpt-6-sol-checked-by-gpt-6-luna,run-3,checked by gpt-6-luna,customer,219,"""Grounding now compares meaning, so those answers can be recognised as supported"" - [#219] introduces semantic scoring, but its facts say it does not close #188 entirely: whole-answer scoping remains open, and the semantic path is nondeterministic. The wording “Grounding now compares meaning” is supported; presenting correct paraphrases and translations as recognizable is supported by tests using a fake embedder, but the output's “so those answers can be recognised as supported” may imply a general guarantee that the facts do not establish."
gpt-6-sol-disabled,run-1,checked by gpt-6-sol,technical,233,"""Anchor assistant citation badges in answer text with previews on hover or keyboard focus. ([#233](https://github.com/goldbarth/ServiceDeskLite/pull/233))"" - Although #233 initially added those badges, #244 removed its `AnswerCitationLayout` during integration and deferred inline badges. The shipped Markdown-based badges were reintroduced by #245, so listing #233 as an added feature distorts the integrated result."
gpt-6-sol-disabled,run-1,checked by gpt-6-sol,technical,223,"""Require the chat system prompt to confirm a write succeeded before reporting it as complete, without asking users to reconfirm requested changes unnecessarily. ([#223](https://github.com/goldbarth/ServiceDeskLite/pull/223))"" - #223 instructs the assistant not to claim a write happened unless a tool call was made and its result reported success. It does not require the prompt to confirm the write succeeded."
gpt-6-sol-disabled,run-1,checked by gpt-6-sol,customer,237,"""You can act on a suggestion directly"" - The first suggested step can be a non-actionable caption when no actionable suggestion exists; unmapped suggestions are displayed but cannot be clicked."
gpt-6-sol-disabled,run-1,checked by gpt-6-sol,customer,233,"""Citations now appear as numbered badges beside matching titles in assistant answers"" - This rephrases the earlier inline-citation implementation, which was removed during the frontend integration. Inline badges were subsequently reintroduced for sanitized Markdown answers in PR #245; the wording should describe that delivered implementation rather than imply the earlier one remained."
gpt-6-sol-disabled,run-2,checked by gpt-6-sol,technical,233,"""Add inline citation badges with hover and focus previews to assistant answers. ([#233](https://github.com/goldbarth/ServiceDeskLite/pull/233))"" - PR #233 initially added these badges, but PR #244 removed that implementation during the Markdown integration and deferred inline badges. PR #245 later reintroduced them over sanitized Markdown. Listing #233 as an added feature in the resulting changelog misrepresents what remained."
gpt-6-sol-disabled,run-2,checked by gpt-6-sol,customer,213,"""You can count on those views sharing the same spacing and corner styles."" - The design tokens provide common spacing and radius scales, but the facts do not say the queue, board, and detail views use identical spacing or corner styles."
gpt-6-sol-disabled,run-2,checked by gpt-6-sol,customer,244,"""The v1.9.0 frontend changes are now combined in one release. You can count on the assistant displaying formatted answers with citations in the Sources list."" - The integration PR combined M9 changes and, at that point, displayed citations only in the Sources list. A separate later PR reintroduced inline badges for v1.9.0. The wording presents the sources-list-only integration state as the release's citation behavior."
gpt-6-sol-disabled,run-3,checked by gpt-6-sol,technical,233,"""Add inline citation badges with hover and keyboard-focus previews to assistant answers. ([#233](https://github.com/goldbarth/ServiceDeskLite/pull/233))"" - Although #233 initially added these badges, #244 removed that implementation when integrating M9, deferring inline badges to #243. They were subsequently reintroduced by #245 over sanitized Markdown. Listing #233 as a delivered addition misrepresents what remained in the release."
gpt-6-sol-disabled,run-3,checked by gpt-6-sol,customer,244,"""The frontend redesign changes are now together in v1.9.0. Assistant answers retain Markdown and a Sources list; inline citation badges are not included in this integration."" - The integration PR deferred inline badges, but #245 subsequently reintroduced them for v1.9.0. In this release-level wording, saying they are not included is misleading."
gpt-6-sol-disabled,run-3,checked by gpt-6-sol,customer,240,"""Long board card titles could grow beyond two lines and stretch their cards."" - The reported defect targets older Chrome. The available Chrome 149 did not reproduce it: the two-line clamp worked even before the fix."
gpt-6-sol-disabled-title-only,run-1,checked by gpt-6-sol,customer,245,"""You can see which part of the answer each citation belongs to."" - The fact says citation badges are anchored inline in the assistant Markdown answer, but does not establish that users can identify which specific part of the answer each citation supports."
gpt-6-sol-disabled-title-only,run-1,checked by gpt-6-sol,customer,223,"""You can expect it to follow those instructions when responding."" - The fact establishes a change to the system prompt's write-honesty and confirmation policy, not that the assistant reliably follows it."
gpt-6-sol-disabled-title-only,run-2,checked by gpt-6-sol,customer,223,"""You can expect it to follow that policy when responding."" - [#223] says the write-honesty and confirmation policy was added to the system prompt; it does not establish that the assistant reliably follows it."
gpt-6-sol-disabled-title-only,run-3,checked by gpt-6-sol,customer,223,"""You can count on those instructions being part of its responses."" - The fact says the write-honesty and confirmation policy was added to the system prompt, not that those instructions appear in the assistant's responses."
gpt-6-sol-high,run-1,checked by gpt-6-sol,technical,233,"""Add `AnswerCitationLayout` to place citation badges in assistant answers with hover and keyboard-focus previews."" - Although PR #233 added AnswerCitationLayout, PR #244 removed it and its tests when Markdown rendering took precedence. PR #245 later reintroduced inline badges using AssistantMarkdown.Render, not AnswerCitationLayout. Presenting AnswerCitationLayout as an addition to this release misstates the final state."
